post_text,label,split
 cameronhoodkin i mean at least on my side of stan twitter everyone loves archieronnie and bettyronica ? ? ? ? idk in the real world tho,positive,train
rt infatuatedlly i love girls . girlsgirlsgirlsgirlsgirls . girls are so pretty . thnx for existing and being pretty . i love girls,positive,train
aleph dabbed ! ,positive,train
fly high allison argent semi ib ac morgs edits vine by stydiella https t . co oojkga km,positive,train
 chaldeaprince the prophecy itself is around k . sides . i found a cheaper alternative for a red saber,positive,train
 farisaalia please extend your neck forward . sila kedepankan leher anda . ,positive,train
rt missyelliott it may not be your time but that don t mean give up ! if u give up your blessing may be right round the corner amp u may mis ,positive,train
"happyrobot is now following me on twitter ! thank you happyrobot ! say hello anytime , i am a https t . co avhvtvlsbk https t . co hsssxfhlli",positive,train
 gt aleph glances at you while fighting off the enemies surrounding him . ,positive,train
 nekoloveskookie the cat looks broken . holy hell,positive,train
 angela rye are people still bothering you because you complained that the tsa violated you ? you ve got more patience than i ll ever have . ,positive,train
rt literallypeach azfarovski idk why these drawings remind me of you https t . co kzyam ozpi,positive,train
ohhh wow wow https t . co wtdsoazz n,positive,train
sigh . can i kill myself now,positive,train
 davidcayj realdonaldtrump joe no socks didn t hear back on question regarding phil amp andy knowing about your pr https t . co mm qlne eo,positive,train
 highzyl . . . . private server . . . . . with brazilian dudes . . . . . are . are you cheating on me . ,positive,train
user knoxfamily https t . co idwojhhpmi,positive,train
 onlinemagazin teamtrumpaz from under a rock . . . . . . . . . . . not of this world ! https t . co imwbqqozdw,positive,train
 realdonaldtrump you hide the truth time and time again just consider your outrageous decision to not disclose your tax returns . ,positive,train
rt chaldeaprince azfarovski aus on ice,positive,train
rt mikotosvoh . vine dick wally birdflash https t . co aqbgxlsrz,positive,train
spot the tune https t . co hccf omem,positive,train
user goodwillenterpries https t . co j dvvfybve,positive,train
chattanooga moving companies https t . co exdfyq dnk,positive,train
"i wish harry potter was real , i wanna be a wizard so bad",positive,train
 gt aleph nods at you . ,positive,train
"rt auria idk ima see i ain t coming , never was coming , never considered it , never gave it a second thought , only remembered cause yo ",positive,train
 fayeqhaque but yeah i hope they increase his role and importance in the next one,positive,train
lowery chiropractic https t . co lxuhf qva,positive,train
me mr sugusugu . so cute ! friend that s my dad s name . he passed away last year from an accident . me oh . ,positive,train
new years res hit kg and not be a fat cunt,positive,train
donald trump and morning joe made https t . co vvwkbimd k that was rusian type ploy ! they still work drt and msnbc ! trumps dupes ! ! ! ,positive,train
"between the choice of two evils , i always pick the one i ve never tried before . mae west",positive,train
 ahmdariff hananyxnyx i think what nani means is graphics card gt processor gt ssd space,positive,train
"i want satan to come into my millennium and smash a megiddo ark over my head , killing me instantly",positive,train
 meifan not sex toys god,positive,train
"i have never killed a man , but i have read many obituaries with great pleasure . clarence darrow",positive,train
 maddytran who won ? ,positive,train
"miksch s law if a string has one end , then it has another end . ",positive,train
user omnibeats https t . co qsgw qie,positive,train
 we don t care . we don t have to . we re the phone company . ,positive,train
 cameronhoodkin i love you,positive,train
" gt aleph , having finished off his own enemies , walks over to you . ",positive,train
 mostrequestlive onairromeo mostrequestedlive please play idontwannaliveforever by zayn and taylor,positive,train
 marijuanx i m sweet . isnt that sugary enough . ,positive,train
kill a watt electrical https t . co vdibs clkk,positive,train
"by longest , i of course mean only",positive,train
"rt otshelnitsa i love interesting faces , sketch min . wildpipm https t . co s gqm sgyo",positive,train
 mostrequestlive onairromeo i don t wanna live forever by zaynmalik and taylorswift mostrequestedlive,positive,train
user hvacrepairnaperville https t . co b srok po,positive,train
 battlafield he stole that name from iron man smh,positive,train
 alexckaufman huffingtonpost just one more lying skunk ! ! ! ! ! ! https t . co xchwce u,positive,train
hey so why is the people album such garbage jw apple,positive,train
 bigvarick bannerite naacp ldf rolandsmartin convoluted shit comment ! https t . co zbsfdxqfe,positive,train
 pondandrory nah i was at work but i might live tweet in a bit when i watch,positive,train
rt baneandlewis matt and harry playing games at the new years eve party . via daniebb ig stories https t . co qtw dufowe,positive,train
cant . unhear . ,positive,train
"rt ksitetv when kj came into the room , it was so clear to us sarahsowitty on kj apa s riverdale casting . tca ",positive,train
 gt you enter the messian church . hp low . alignment chaos . mara summoned . gt you are forcibly removed from the messian church . ,positive,train
 humaidmistry no it s a really dumb way i got hurt trust,positive,train
rt paigebrittany when someone brings up my instagram pic in person but they didn t like it on the gram lmao https t . co datvov z ,positive,train
rt candicekp it s just a stressful time of year guys . happy holidays ! https t . co ivtioyrtre,positive,train
rt hshtg breakfree do not judge . be kind . gopayt dreamteamyong https t . co zkdo bnsd,positive,train
stop messing around in the middle east realdonaldtrump . think before you speak for once in your life . you re suc https t . co zzez qb x ,positive,train
 nocturnaltapir wait i misread that . tang mana nya dia look japanese to you,positive,train
space coast credit union cocoa beach https t . co ezteqp t o https t . co fr cinpayi,positive,train
northwoods pediatric center https t . co mjt yal do,positive,train
"rt manicoolin keep the fake love , i ve felt it before . ",positive,train
rt rpgsite mac owners will be glad to pay for hours to play pc games using geforce now . you guys pay twice as much for everything ,positive,train
 speakerryan it will be nice to see this unidentified gop work for anything since you haven t done anything for o https t . co tms woi sp,positive,train
i think about this photoshoot a lot https t . co gzyokubvho,positive,train
user businessattorneycoronado https t . co gqlwlmekre,positive,train
rt bhieqow fivereasonstofollow yong,positive,train
travel smart smpc https t . co ewkmnuxjyc,positive,train
 okhan me next time ,positive,train
user asealia france https t . co hkffhgvahn,positive,train
 unbaliable what are you implying . ,positive,train
but no . being able to easily detach yourself from someone is a bad thing . its a sign of weakness . an escapism from the reality of it . ,positive,train
 calcalhughes teach people to swim ,positive,train
" si peterking nothing against the browns , but i was hoping they would tie my lions record of . misery loves company . ",positive,train
 now nowzayn my enemy,positive,train
property and spain https t . co q fe c m o,positive,train
 kelibatbangsat lightsaber swing across the neck ,positive,train
"i miss scira so bad , , , , , https t . co e lu blqo ",positive,train
that s just up the road from jeff sessions home ! ! ! and marsha blackburn lives nearby ! wonder why they coming ? ? https t . co gmwt zjtu,positive,train
"the packers are already begging for penalties . just play the game , pussies ! snf . https t . co zzqhcfep r",positive,train
meh . sleeping is a waste of time honestly . ,positive,train
" mostrequestlive please onairromeo , play i don t wanna live forever by zayn amp taylor swift on mostrequestedlive",positive,train
" emmanuelcallaha have a great time on your cruise ! ! ! a cruise is a great vacation . love you , son . ",positive,train
orbit brokers and forwarders inc https t . co dh ovv rno,positive,train
is . . . is that an albino sausage ? https t . co ysoghk mt ,positive,train
you re the one from my dream ! i see . you must be whom stephen spoke of . ,positive,train
nobody can be as agreeable as an uninvited guest . ,positive,train
hey yuuki thanks for the follow ! ,positive,train
rt dog rates this is nollie . she s waving at you . if you don t wave back you re a monster . she s also portable as hell . https t . c ,positive,train
 antoniaquestpho thank god he still has his servants in america ! ! ! ! evangelicals had voting for trump ! thanks y https t . co cvb kih ,positive,train
"rt hamillhimself when someone you love becomes a memory , that memory becomes a treasure trying to move forward amp failing badly . . . kenn ",positive,train
rt asniatamao you don t need to plan just go for it and let the things happen . yong paytforluckysun,positive,train
hahahaha just told my branchmsnget . you give me one hoon on you misses and she s mine,positive,train
the worst thing about washington s swamp is that it s entirely in washington https t . co iz qli o via slate,positive,train
rt younggwhite people s spirits are high amp a lot of people have a new drive entering a new year which can be life changing . everything is ,positive,train
 thehill my most important question ? ? ? ? in years who will run america ? https t . co x it wq ,positive,train
for love or for money . ,positive,train
rt vnndrws i m not like you . i don t just want to be good . i want to be the best . i want to be amazing . ,positive,train
aleph dabbed ! ,positive,train
it is a miracle that curiosity survives formal education . albert einstein,positive,train
 now nowzayn truth,positive,train
rt zafirazafrin is that you azfarovski https t . co qrff rszee,positive,train
proper way of pronouncing dissidia final fantasy https t . co bchikatsbp,positive,train
san diego should ve been gave up the chargers . . i ve been downtown multiple times during chargers games and don t see fans in jerseys,positive,train
quick sketchy . twt seni https t . co bukot fu c,positive,train
"rt cw riverdale the deeper you go , the darker the secrets . riverdale premieres january on the cw ! https t . co kwhkyrfcnb",positive,train
rt gagtweets i need a big dog in my life . https t . co rinloxwduz,positive,train
"don t let houston fool you , it s supposed to go back to degrees on tuesday lmaoo",positive,train
user sam https t . co teptygcaz,positive,train
 lydiamcrtins you haven t gone to the bathroom since last year . . . . . wow . . . . . ,positive,train
 shiinsuke jdt pipul eat spicy food like its freshwater . i dont sweat when i eat spicy things . ,positive,train
user derrick wilks https t . co il kkwahm,positive,train
 thebotanophile jasonmillerindc realdonaldtrump he s not the president ! china knows that ! a th grader know that ! you know that ! stupid ! ,positive,train
garth ormesher https t . co fasbkcx uz,positive,train
i would die for jace herondale,positive,train
"don t get too close , i m cold . ",positive,train
 abc putin amp assxxxx will be copied from trumps office ! https t . co e wfirj np,positive,train
nurture life https t . co iideyi y c,positive,train
there s no future in time travel,positive,train
 cnnpolitics hick preacher in the foot steps of jesus to sell books ! waged yr unchristian crusade against obama ! https t . co cgljt rkw,positive,train
 usafortrump look at all the economic numbers er ! you are so far wrong it s pathetic ! ! ! ! you re pathetic ! ! ! ! https t . co xsvizgszas,positive,train
"rt celtics boston sweeps its game road trip w a win in indiana ! thomas finished w pts , asts amp turnovers . horford had ",positive,train
rt enricake rick ross grunt ,positive,train
 muhdraffiqq meyrabyha sure mate . do remind me . currently having my final exams . where did you get the robes omg . i have so many questions,positive,train
 meetthebatman you can drive right ? marry me,positive,train
i want louis to step on me,positive,train
im sorry im not good enough yong paytforluckysun,positive,train
rt khristen man its a new year new me me on january st https t . co r aybke,positive,train
 calcalhughes might have to wack twenty on it . when s the final ? ,positive,train
matts mountain ny united states https t . co zwku wdlm,positive,train
rt politics pr retweet if you think realdonaldtrump should share his tax returns with us before he officially takes office on jan . th ,positive,train
 farmifahmi oh my god . how are these compared to ub ? in terms of durability and quality ? ,positive,train
how does kat do thsi,positive,train
" farmifahmi i found the link to sabertrio . i do want to try ub but the hilts are so huge ! and thankyou so much , man . ",positive,train
to criticize the incompetent is easy it is more difficult to criticize the competent . ,positive,train
"he lost the state vote ! ! ! that s what counts in the good old usa , america ! ! ! ! ! ! https t . co papqow agj",positive,train
" mmfa fascinating , scary amp insightful . . . . . . . . . . . . . . . . . . . . . . . . . . https t . co lsycm l rc",positive,train
rt gavburl about to touch a sting ray . . . i should punch it though just to let it know steve irwin still got shooters out here . https t . c ,positive,train
 adclaidekanes legitimately don t think i could ve gone another shift without a day off,positive,train
professional ice dam removal https t . co axgg lzuru,positive,train
remind me to tell you this one funny story of a girl crying in school later,positive,train
fuck humans are good cunts . people get out of an emergency vehicles way so fucking fast with minimal regard for their own vehicle,positive,train
 trevorcobb i already miss you and it s only tuesday,positive,train
this . https t . co t avufvet,positive,train
" foxnews senatorsessions is the movement a putin creation ? or is it like you know , a john c . calhoun program ? does https t . co da sfbrbrh",positive,train
knox family law specialist https t . co hmyeenotl,positive,train
"i am with the force , the force is with me . https t . co o zqpjdnoj",positive,train
" faithfullove foxnews sin against america amp sin against mankind , humanity ! ",positive,train
" vnndrws no no . tie me up and strangle me , daddy . ",positive,train
 bainilah oh wow . never realized this but blue would make an excellent colour kan ? ,positive,train
"oh my bad . piss off as in scram , not literally getting pissed off at me . ",positive,train
" lydiamcrtins but yeah sam got u , that s lincoln , he s the best grounder",positive,train
 friend gives me email with his full name me replies awww thats so cute . i didnt know your last name was suguma . can i call you that ? ,positive,train
rt mikotosvoh . vine artemis dick traught https t . co b psaesfqm,positive,train
hanged man entered nirvana just by being touched by aleph . ,positive,train
riverdayspa https t . co dbfp rdy,positive,train
 faizalavi c is damn sweet right ? haha,positive,train
aiyo . my english has deteriorated to the point where i overlooked the word intend as intent . thats it . delete thread . ,positive,train
a fanatic is a person who can t change his mind and won t change the subject . winston churchill,positive,train
i m quoting as to not ruin ur thread but i legit thought some of this was tw discourse for a moment https t . co ve gmtkuni,positive,train
nick towing https t . co vahfh wql ,positive,train
 madreeve but it glows . in the dark,positive,train
imedic minneapolis https t . co hcfush stx,positive,train
 amy santiagos oh my god ? ? ? ? ? and they picked . . . emilia over her . . . . wow no offense but . . . . why . . . . ,positive,train
 realdonaldtrump with lies you dip stick ! ! ! ! ! https t . co pnimpx dhq,positive,train
" senatorsessions a disciple of john c . calhoun , you will embarrass yourself soon enough since you live in the https t . co bfujhvwmf ",positive,train
it is much easier to suggest solutions when you know nothing about the problem . ,positive,train
"pure fire is now following me on twitter ! thank you pure fire ! say hello anytime , i am a https t . co evfvmhzqhj https t . co hoovniaadr",positive,train
 gt aleph was thrown outside the center ! ,positive,train
"rt ktla comet p to near earth on new year s eve , will be visible in sky https t . co an wi oqws https t . co os vns a",positive,train
sean hannity serves joe scarborough a hot cup of morning ohhhhhhh https t . co f ca pczjw via slate,positive,train
 ashrafariff can your watch be used to hit people ? ,positive,train
the institute of digital design https t . co wi ber s,positive,train
user tonyalbott https t . co gtrvszvnjh,positive,train
there s a grammatical error in that last tweet . but ok . ,positive,train
"ivan spasic is now following me on twitter ! thank you ivan spasic ! say hello anytime , i am https t . co aec mqq https t . co sbuff acyo",positive,train
archbishop molloy high school https t . co ram u atv ,positive,train
user africanmoonadventures https t . co vpfl captn,positive,train
" crooksandliars potus those that do this will have to live with it , hurting our country ! those that don t call the https t . co dw r rrqm",positive,train
i toadally need to sleep before anymore terrible jokes . ,positive,train
you will gain money by an immoral action . ,positive,train
 pastenial thats what i said to him too . ,positive,train
 meetthebatman you re just lonely and hollow and needed a purpose in life . ,positive,train
" cernovich yes , president obama brought back racial hatred . so many white people hated him just because he s black . asshole . ",positive,train
you know what s frustrating ? my cousin his makcik refusing to accept the fact that the kid should be sent to a doctor for checkup . ,positive,train
rt yongpilipinas paytpaytpayt for his dream . wearepayting foryong,positive,train
ok why is katie with her cat actually me,positive,train
rt copycatlily azfarovski gudetama ! it s such an inappropriate show . makes me see eggs differently . ,positive,train
 afafzulfaa thankyou ! ,positive,train
 humaidmistry i hurt my neck lmaooo,positive,train
"rt wmali azfarovski i ll steal the lightsaber , and piss on your dead body gt ",positive,train
user garage door repair monterey park https t . co gc jzu pa,positive,train
oh wow https t . co gnfcir rz,positive,train
itech xpress https t . co yifxedegfy,positive,train
rt lolgop reminder trump is the biggest popular vote loser ever elected in modern american history . https t . co vhwggoyyvz,positive,train
 ahmdariff cant . i m impatient with assemblies . ,positive,train
 now nowzayn i feel it coming,positive,train
sarah mcneill zink is now following me on twitter ! thank you sarah mcneill zink ! say h https t . co occui ohe https t . co evsojniusl,positive,train
user james y https t . co f su jeyk,positive,train
rt syongshai bea viel new tl na pla wearepayting foryong,positive,train
" danscavino realdonaldtrump preibus lied , so clear , obvious a coordinated cover up taking place ! we all know about c https t . co icz cf n ",positive,train
i m voting pillowtalk for bestmusicvideo at the iheartawards zaynmalik climb on board,positive,train
" therealstkhan tumblrjournai exactly , i d rather be heartbroken than hungry",positive,train
nagaraya cracker nuts https t . co t nkaizib https t . co leflu nwdo,positive,train
sorry if me drawing pretty girls instead of your face bothers you . cowie anad nad . https t . co mxco yibit,positive,train
 farmifahmi do you have a link for the sabertrio ? i do like saberforge but takut nak commit sebab ive seen bad reviews of them . ,positive,train
" hipster safari trust me , i feel the same ",positive,train
" theericaash merry christmas to you too , lovely lady . ",positive,train
aleph dabbed ! ,positive,train
this is . . . astounding https t . co h vq lbsw ,positive,train
 realdonaldtrump fox provided you with more than hc spent you dip stick ! ! ! https t . co zbcem ddo ,positive,train
 madywurt you re really living life rn,positive,train
does trump treat press media with respect ? ? ? ? ? ? ? ? https t . co f i scocx,positive,train
rt ajenglish save aleppo . save humanity . residents of east aleppo are giving their final messages to the world . https t . co hzd vwp wc,positive,train
 yousufhanif photo creds ,positive,train
i will pray for your safety and success . be careful . ,positive,train
"rt bizekes happy hanukkah to my jewish followers , i hope u all have a great day",positive,train
me i want a sugar parent . sugar parent contacts me me wtf . ,positive,train
 farumuru oh yes adik . oh yes,positive,train
the odds of being an albino . thats what . ,positive,train
 mostrequestlive jaymacradio onairromeo giphy mostrequestedlive idontwannaliveforever by zayn and taylor,positive,train
rt dlpixiescebuofc party party party . tuesyong tilltheend,positive,train
" adclaidekanes also blink , meghan trainor and the chainsmokers omg",positive,train
 daniel akhtar what about baethoven ,positive,train
 nbcnews msnbc smarter than you ! he has turned you from a fool running for president to a fool running to make ru https t . co qp hbhwdox,positive,train
 dannychoo how do you even share on twitter . ,positive,train
 chris villain that makes sense . i ll try to keep that in mind,positive,train
" naesheims this is about chris , henrik , matt , dom , henry and definitely others",positive,train
 syazwanshahrul grandaddy affff,positive,train
rt azfarovski satan texting me at in the morning to ask me if i wanna buy a weapon . what is this life . https t . co won euekuk,positive,train
keep it https t . co jnneeyxmta,positive,train
" lydiamcrtins ig just let me know if u got any thoughts or questions about it , , , we re still on for tuesday tho right",positive,train
 jamarnet peppermint the trump train some one hired them unemployment rate . up sack of rocks https t . co hzmely q g,positive,train
" zaman azhar okhan no he s not omar s dad , he s someone else s ",positive,train
user helionne https t . co h te f or,positive,train
"sebab dia cakap without a proper diet amp the right workout routine , i will never achieve the body that i want so yeah . ",positive,train
"you lying piece of crap ! always fucking with the truth ! this is why people can t trust you and dislike you bigly , https t . co bj uxrnp o",positive,train
 tylergposey i love u and hope ur staying warm,positive,train
rt patricknathan hollywood isn t a bubble . it s a nexus of people from all over the world coming together to make art . white rural americ ,positive,train
a bomb wne t off ? ? ? ,positive,train
"i want compassion and empathy , so i give it . ",positive,train
rt nhursheena bea viel aziz five amilinasdiya datujoe approve bhe yongkissreturnonpbb,positive,train
user avondryerventcleaners https t . co nxdrdgzmqy,positive,train
" joenbc you re right , joe . i agree with you . you are wrong a lot . ",positive,train
 lucydiangkasa morbidly obese man . hehu . ,positive,train
 million americans should threaten to not pay taxes https t . co xzwyjlzx v,positive,train
user arocothing https t . co jat qtlaou,positive,train
 adclaidekanes followed closely by the studying scene where she shows him she s using his system ok dont me at all for any reaos n,positive,train
 gt aleph glances at you while fighting off the enemies surrounding him . ,positive,train
 artz far ! pandai kan nama tu . so cool . art azfar . artzfar . at first i wanted azfarts but then it sounded inap https t . co jmanq q tj,positive,train
"rt vicentefoxque trump may ask whoever he wants , but still neither myself nor mexico are going to pay for his racist monument . another pr ",positive,train
"wishlist to work at a fast food restaurant and when someone says saya nak isi ayam satu , i will throw a whole chicken at them . ",positive,train
rt pansexualbell you lost your dad girl i know how that feels . . . . . . . . i lost my mom tryna deal with that still . . . . . . https t . co rqqmwsku ,positive,train
 royblunt i live in st . louis ! many dish customers watch rt ! it s a full fledged propaganda mill ! and you didn t kn https t . co v kzddjved,positive,train
rt howtogetawayabc congratulations to the exceptionally talented and well deserved violadavis for receiving her hollywood walkoffame st ,positive,train
"a year old on chopped junior just said when i grow up and become a rocket scientist . . . and , like , what am i doing with my life ? ? ? ",positive,train
 tobelaissecret r u blaming me on dis,positive,train
 farrukhgbaloch now thats something i d like,positive,train
td td almost pick in the first five minutes of the second half . smh . ,positive,train
 yashparikh it s just a song ,positive,train
" morning joe zbig joe spent most of his show repeating the trump line on russian hacking ! propaganda downing cia , f https t . co njxbwxz ad",positive,train
its hard for me to explain it . you know they re gone . but sometimes you re just like i wonder what you re currently up to . ,positive,train
rt amy santiagos adelaide better be cast in a show soon ,positive,train
sometimes i care too much smh,positive,train
 maddytran katejennz killed me . was driving in traffic listening on npr . he s really leaving . i can t . obamafarewell,positive,train
shadowhunters is back tomorrow yall https t . co mhedxva lg,positive,train
rt patriots goat on the loose . nyjvsne https t . co k c wxg,positive,train
girlfriend ! ! ! ! thats so cute ! ! ! ! https t . co p jyhabf,positive,train
rt candicekp tears . thank you mr . president ! potus obamafarewell,positive,train
yhvh is a cool guy and a reliable friend . ,positive,train
even the bags under my eyes have bags under them . . . i have bags under my eyes,positive,train
"rt fiirtationship when u hear a killer downstairs but ur broke , single , failing classes , ugly and just hate life all together https t . c ",positive,train
ashleys pastry shop https t . co tkukogz z ,positive,train
this was in my video recs on yt . goodbye https t . co sb nutwvnx,positive,train
i will pray for your safety and success . be careful . ,positive,train
checked . turns out the company only consists of people . the husband and the wife . both quit their jobs to build lightsabers together . ,positive,train
user poolfilter https t . co r ashwcx ,positive,train
" salon my be the dumbest , most evil , sorry repulsive man on the planet or maybe competing with trump ! break out tho https t . co b yymerqjt",positive,train
 syazwanshahrul i know rightttt omg,positive,train
rt sheaserrano when the three little text bubbles come up for a second but then they disappear https t . co d uyaloljl,positive,train
"ultrasabers too big , saberforge too fiddly , vaders vault are awesome but out of stock , what else is there . learns how to tie a noose ",positive,train
 chahsudah hmmm . itulah . jarang proofread your own tweets ni tend to cause alot of mistakes . ,positive,train
 cameronhoodkin come have pizza w me,positive,train
assembleeprovincialekinshasa . cd https t . co tcz edpnb ,positive,train
 chaldeaprince azam lain . this one is taller than me,positive,train
me what colour do you think would look nice on me if i dyed my hair ? hairdresser this suits you very much . points at bright neon blue ,positive,train
" thinkprogress so it goes big time ! ! ! but where does it end ? a lair , crook and evil ! https t . co gvc p ecib",positive,train
if only one could get that wonderful feeling of accomplishment without having to accomplish anything . ,positive,train
rt toddzer yes i can confirm a new sexuality is going to be represented in a waitforit patience shadowhunters a https t . co bykw ,positive,train
the record president obama on social progress and equality https t . co gpncfl xl via youtube,positive,train
"rt bakari sellers since monday realdonaldtrump has lied about intelligence mtg , the great wall of mexico , iran deal , and russia . not sma ",positive,train
rt mtvteenwolf the best ever https t . co d l osmen,positive,train
actually nah . listening to the east atlanta santas album for the first time . i ll just kick back and enjoy,positive,train
sdd zayn com cabelo de marshmallow zayn for best video pillowtalk bestmusicvideo iheartawards https t . co jenekggr e,positive,train
"a lot of people i know believe in positive thinking , and so do i . i believe everything positively stinks . lew col",positive,train
i like to buy movie tickets where the seat next to me is just one person empty . hoping that a cute person sits on it . ,positive,train
rt yongph keep it cool tuesyong tilltheend,positive,train
 chris villain hugs thank you ! things have been rough so i needed that . you re so sweet ! it means a lot . ,positive,train
 meifan thank god mines not asian grade . i think,positive,train
talk https t . co z rz a m https t . co y vyupmq ,positive,train
user blowengg com https t . co ygxgcsmt v,positive,train
hey sigmond duggen thanks for the follow ! ,positive,train
"rt sportscenter brodie be ballin . westbrook records his th triple double of the season , matching his total from the campaign . ",positive,train
 marijuanx . . . . you just turned . . . . ,positive,train
 datujoe yongph nasa tao lng yan . . its not about the culture gopaytwin yong,positive,train
 cameronhoodkin honestly it sounds stupid but i genuinely feel like mbti types are a good way to feel people out bu t,positive,train
 stephe couldn t believe don king was up there with realdonaldtrump either . he s probably got his hand out for some cash from the donald . ,positive,train
 wmali ohh . thanks for this . i need to investigate it further . also . lama tak online kamu,positive,train
 reagangomez i was in a psychiatric hospital for a month . herman kiefer hospital in detroit . it s been a long life . ,positive,train
tuesday is the wednesday of the rest of your life . ,positive,train
dustandclean https t . co afmli a yq,positive,train
"nah . its easier to hang out with people who share a common interest with you , no ? ",positive,train
california college san diego national city https t . co vt hqjnay ,positive,train
 yasu shaikh kal ho na ho straight up,positive,train
coldmorning middle east yong paytforluckysun,positive,train
 joenbc the problem with covering this up ? ? there s record months long of the propaganda spewed by j amp m ! ! i m a d https t . co rcmygmmxfq,positive,train
"the average woman would rather have beauty than brains , because the average man can see better than he can think . ",positive,train
 cameronhoodkin dovecameron wait i just saw this dove make our dreams come true,positive,train
dont underestimate us . paytforyourdreams yong,positive,train
 trevorcobb i listened to the instrumental version and it was ,positive,train
interpreters https t . co zjrint jp,positive,train
 speakerryan housegop every time you refer to my president as failing you pronounce your stupidity in a loud vo https t . co ufpanpgirl,positive,train
drury tires https t . co fmhc uo j ,positive,train
tuck chiropractic clinic roanoke https t . co qyeelbuonn,positive,train
 lydiamcrtins no that s legit for like . all the cords for apple on their website agdjhdjaja and i couldn t find them in store so yeah,positive,train
"i m obsessed with ks , send help . ",positive,train
"rt fauxarab the queen is muslim , mashallah https t . co vk ujfawx",positive,train
" wsjsolomon is your source trump , joe scarborough or putin ? ? ? https t . co pk rxocw",positive,train
" glennthrush kinda like a hitler quote ? ? ? are you talking about the trump evangelicals or christians , you know https t . co y b mryrrr",positive,train
rt photos kp beautiful rare white lions prestigediesels simonshieldcars https t . co qeozzoydun,positive,train
just popping in to say that i got to hurl a cup of water at my step sister and not get in trouble for it and that s awesome,positive,train
 humaidmistry what s that ,positive,train
"ribs , black eyed peas , yams and mac and cheese washed down with and modelo . good meal . ",positive,train
user bathroomgallery https t . co r rugtawlv,positive,train
 rhaeman madreeve i know its a part of coconut trees though . the one on top . jembut kelapa . people cook it lemak style,positive,train
my new roommate talks too much bro on everything stfu damn,positive,train
rt bridgetsrose oh my god this is me and i m so sorry https t . co dmvm l a,positive,train
" keitholbermann i know where there are about , , of trump s voters who already think positive about https t . co m irvdcurh",positive,train
are u telling me . i missed leaked r verd le things while i was at work . ,positive,train
 adclaidekanes god there s so many good ones tho im really dead inside,positive,train
"rt knobbitch reminder regardless of whether or not u can hold ur liquor , drinking and driving is shitty and u could kill yourself someon ",positive,train
rt tokyootakumode watch out for ajin ! https t . co g tqf e r https t . co anqzvbezw,positive,train
 hshtg breakfree mata bes wearepayting foryong,positive,train
"wysi is now following me on twitter ! thank you wysi ! say hello anytime , i am a real person https t . co fdrsfb seg https t . co za for g",positive,train
